Unnamed: 0,TIME,STEP,STEP_NAME,PARAM_ALIAS,VALUE
145,2023-10-02 11:05:05.275,0,STANDBY,TEMP_PROFILE_2,312.81178874394493
146,2023-10-02 11:05:06.270,0,STANDBY,TEMP_PROFILE_2,312.92360987702455
147,2023-10-02 11:05:07.265,0,STANDBY,TEMP_PROFILE_2,312.92944594456003
148,2023-10-02 11:05:08.260,0,STANDBY,TEMP_PROFILE_2,312.8274690151219
149,2023-10-02 11:05:09.255,0,STANDBY,TEMP_PROFILE_2,312.64723707891557
150,2023-10-02 11:05:10.250,0,STANDBY,TEMP_PROFILE_2,312.76995146376856
151,2023-10-02 11:05:11.245,0,STANDBY,TEMP_PROFILE_2,312.7481863159849
152,2023-10-02 11:05:12.240,0,STANDBY,TEMP_PROFILE_2,312.73788740868395
153,2023-10-02 11:05:13.235,0,STANDBY,TEMP_PROFILE_2,312.6849653365801
154,2023-10-02 11:05:14.230,0,STANDBY,TEMP_PROFILE_2,312.5855338077017
155,2023-10-02 11:05:15.225,0,STANDBY,TEMP_PROFILE_2,312.6194696361491
156,2023-10-02 11:05:16.220,0,STANDBY,TEMP_PROFILE_2,312.6226351379318
157,2023-10-02 11:05:17.215,0,STANDBY,TEMP_PROFILE_2,312.6831939108151
158,2023-10-02 11:05:18.210,0,STANDBY,TEMP_PROFILE_2,312.6058603706486
159,2023-10-02 11:05:19.205,0,STANDBY,TEMP_PROFILE_2,312.557278670946
160,2023-10-02 11:05:20.200,0,STANDBY,TEMP_PROFILE_2,312.39639754933916
161,2023-10-02 11:05:21.195,0,STANDBY,TEMP_PROFILE_2,312.4344080098357
162,2023-10-02 11:05:22.190,0,STANDBY,TEMP_PROFILE_2,312.4453445648791
163,2023-10-02 11:05:23.185,0,STANDBY,TEMP_PROFILE_2,312.2018822903097
164,2023-10-02 11:05:24.180,0,STANDBY,TEMP_PROFILE_2,312.36563146824057
165,2023-10-02 11:05:25.175,0,STANDBY,TEMP_PROFILE_2,312.34467501402423
166,2023-10-02 11:05:26.170,0,STANDBY,TEMP_PROFILE_2,312.3379501112219
167,2023-10-02 11:05:27.165,0,STANDBY,TEMP_PROFILE_2,312.1738004490731
168,2023-10-02 11:05:28.160,0,STANDBY,TEMP_PROFILE_2,312.1379774129243
169,2023-10-02 11:05:29.155,0,STANDBY,TEMP_PROFILE_2,312.20378873960857
170,2023-10-02 11:05:30.150,0,STANDBY,TEMP_PROFILE_2,312.002877398763
171,2023-10-02 11:05:31.145,0,STANDBY,TEMP_PROFILE_2,312.18074868734595
172,2023-10-02 11:05:32.140,0,STANDBY,TEMP_PROFILE_2,311.9051584517626
173,2023-10-02 11:05:33.135,0,STANDBY,TEMP_PROFILE_2,312.14634382953716
174,2023-10-02 11:05:34.130,0,STANDBY,TEMP_PROFILE_2,312.1586130191585
175,2023-10-02 11:05:35.125,0,STANDBY,TEMP_PROFILE_2,311.8419671924871
176,2023-10-02 11:05:36.120,0,STANDBY,TEMP_PROFILE_2,312.0499094756259
177,2023-10-02 11:05:37.115,0,STANDBY,TEMP_PROFILE_2,311.8847751338045
178,2023-10-02 11:05:38.110,0,STANDBY,TEMP_PROFILE_2,311.8310718842999
179,2023-10-02 11:05:39.105,0,STANDBY,TEMP_PROFILE_2,311.7896703119811
180,2023-10-02 11:05:40.100,0,STANDBY,TEMP_PROFILE_2,311.9019176569166
181,2023-10-02 11:05:41.095,0,STANDBY,TEMP_PROFILE_2,311.7676598939153
