TIME,GAS_DCS,GAS_F2,GAS_N2_1,GAS_N2_2,GAS_N2_3,GAS_N2_4,GAS_N2_LOADING_AREA,GAS_N2_NR,GAS_NH3,PRESSURE_APC_ANGLE,PRESSURE_VG1,PRESSURE_VG2,TEMP_PROFILE_1,TEMP_PROFILE_2,TEMP_PROFILE_3,TEMP_PROFILE_4,TEMP_PROFILE_5
2023-10-02 12:13:08.755,0.0,0.0,1.001,0.0,0.0,1.002,399.509,0.301,0.0,100.0,0.2431223439195583,1.44025865452702,616.8575192525022,618.5943435602069,619.4712183909002,618.5511245335566,613.2079263873642
2023-10-02 12:13:09.750,0.0,0.0,1.002,0.0,0.0,0.998,399.512,0.301,0.0,100.0,0.2648634939901867,1.497274834548849,616.8231044618115,618.5382580436916,619.3659012244627,618.4733958091485,613.1443130802131
2023-10-02 12:13:10.745,0.0,0.0,1.0,0.0,0.0,0.0,399.609,0.299,9.194,100.0135477302064,0.2515873915090783,1.5006872526347148,616.8733087571344,618.5678075797097,619.3567817849396,618.1561386451957,613.2858104895789
2023-10-02 12:13:11.740,0.0,0.0,1.0,0.0,0.0,0.0,398.731,0.301,10.014,100.0,0.2684077754585144,1.5938170331446166,616.8086758711594,618.5829950956776,619.3872208001209,618.1618476939259,613.536031598927
2023-10-02 12:13:12.735,0.0,0.0,0.997,0.0,0.0,0.0,399.021,0.301,10.0,100.0,0.463090560483458,1.604084881022407,616.8884422648645,618.3142381009279,619.0694650138756,618.9848973475042,613.3011430834556
2023-10-02 12:13:13.730,0.104,0.0,0.999,0.0,0.0,0.0,399.512,0.301,10.0,100.0,0.5960788330277528,1.710523663412252,616.8536578979476,618.4120693870113,619.254000067606,618.3674796191623,613.698581902561
2023-10-02 12:13:14.725,0.544,0.0,1.001,0.0,0.0,0.0,399.512,0.301,10.0,100.0,0.5854506180042474,1.631196453906837,616.8162774233901,618.4959956224748,619.0211737273681,618.4436322034642,613.8675855908001
2023-10-02 12:13:15.720,0.916,0.0,1.0,0.0,0.0,0.0,398.52,0.301,10.0,100.02375318986944,0.5984346047821592,1.7103856382151257,616.8171165553973,618.4363040194218,619.0969298066757,618.5492034323507,613.761960123015
2023-10-02 12:13:16.715,1.006,0.0,1.001,0.0,0.0,0.0,399.72,0.3,10.0,100.04764423029825,0.5989824900650325,1.6405646294040876,616.8264460766497,618.3181371444418,619.2849700361975,618.7528750302602,613.3864686202825
2023-10-02 12:13:17.710,1.008,0.0,1.0,0.0,0.0,0.0,399.512,0.299,10.0,100.03593655976005,0.5884928534574845,1.7679212024322912,616.844164095632,618.4912638442154,618.9575200768546,618.3193299237394,613.7424107678637
2023-10-02 12:13:18.705,1.012,0.0,1.001,0.0,0.0,0.0,398.92,0.3,10.0,100.0,0.6025404066605677,1.7887370169206682,616.8355038042888,618.4567779209353,619.380632561224,618.073543288484,613.1323066026331
2023-10-02 12:13:19.700,1.01,0.0,1.001,0.0,0.0,0.0,398.519,0.299,10.004,100.0,0.5833268108248512,1.7364106121032807,616.8949527795468,618.5075823939704,619.1641717301867,618.2126830833303,613.3230054928218
2023-10-02 12:13:20.695,1.012,0.0,0.998,0.0,0.0,0.979,399.82,0.301,0.0,100.0,0.5852873344825461,1.7642757837687082,616.8241165673136,618.2169023513278,619.2292185715422,618.1703894292705,613.7379543743418
2023-10-02 12:13:21.690,0.2,0.0,1.001,0.0,0.0,1.001,399.512,0.299,0.0,100.0,0.3314773191499233,1.4563958154544956,616.8903129276123,618.260295668461,619.3824263879807,618.0899703831694,613.4574019161251
2023-10-02 12:13:22.685,0.0,0.0,1.0,0.0,0.0,0.999,399.72,0.299,0.0,100.0050910733532,0.2596285595768391,1.3203052150021777,616.8155024405811,618.3504795511955,619.2028152558744,618.2796849954882,613.1807104835104
2023-10-02 12:13:23.680,0.0,0.0,0.0,0.0,0.0,1.001,399.718,0.302,0.0,55.86538864598582,0.257129616410536,1.3956617828493334,616.8418886656584,618.2558604565418,619.3319899300567,618.1226868682372,613.7550333180866
2023-10-02 12:13:24.675,0.0,0.0,0.0,0.0,0.0,1.001,399.52,0.3,0.0,1.194033137999944,1.21327373514586,2.286092640566948,616.8232593440435,618.2436111884335,618.958154964746,618.2568040880227,613.3209016152962
2023-10-02 12:13:25.670,0.0,0.0,0.0,0.0,0.0,0.997,399.512,0.3,0.0,36.46180139003936,1.5788238780271728,3.5891242624163837,616.8183336127979,618.435188764404,619.3378584158584,618.9619970137355,613.7585453549027
2023-10-02 12:13:26.665,0.0,0.0,1.001,0.0,0.0,1.001,399.632,0.301,0.0,100.0,0.8127213564381819,2.1885996181687384,616.8729036828665,618.496232184232,619.0330627957062,618.7124481139872,613.8988833413132
2023-10-02 12:13:27.660,0.0,0.0,1.004,0.0,0.0,1.001,399.512,0.3,0.0,100.0,0.3148529710254412,1.4225409341862698,616.8278179850385,618.3857718956128,619.109926707275,618.9284492598314,613.8521542364176
2023-10-02 12:13:28.655,0.0,0.0,1.003,0.0,0.0,1.002,398.231,0.299,0.0,100.004446206487,0.2622500170427335,1.482097241436492,616.8185472184401,618.3542184570547,619.0111440501463,618.8953679998097,613.3606386753866
2023-10-02 12:13:29.650,0.0,0.0,1.0,0.0,0.0,1.002,399.5100000000001,0.3,0.0,100.0177843740448,0.2616972773766657,1.5013776188299106,616.8096228424579,618.3538183640469,619.1788187558774,618.6294776461287,613.4310841208128
2023-10-02 12:13:30.645,0.0,0.0,1.001,0.0,0.0,1.002,399.512,0.297,0.0,100.0,0.2523999712609145,1.3827178950697123,616.8318043440777,618.4102640086005,619.1471971934371,618.1018134234274,613.2629484691757
2023-10-02 12:13:31.640,0.0,0.0,1.001,0.0,0.0,0.689,398.721,0.302,0.0,100.0,0.2690291499299505,1.3847660373686492,616.8725788422951,618.5577664188414,619.1920352328045,618.2142130172208,613.749635802837
2023-10-02 12:13:32.635,0.0,0.0,1.001,0.0,0.0,0.0,399.42,0.301,10.0,100.0,0.2628507118811382,1.4805470020114484,616.8944290915696,618.2417926661051,619.396724912799,618.3788788522836,613.6946868149273
2023-10-02 12:13:33.630,0.0,0.0,0.997,0.0,0.0,0.0,399.512,0.3,10.014,100.0,0.5583791755223472,1.7385035508244076,616.8987672392086,618.3718100622377,619.0513025378802,618.7581941509956,613.6117716173312
2023-10-02 12:13:34.625,0.0,0.0,1.001,0.0,0.0,0.0,398.62,0.301,10.0,100.0,0.5843982496668655,1.7200535579908616,616.8197465550936,618.3851541519334,618.9737200637563,618.6486859190717,613.5692170211034
2023-10-02 12:13:35.620,0.324,0.0,1.0,0.0,0.0,0.0,399.512,0.3,10.0,100.03446292075895,0.5882092625916682,1.6443750029665567,616.8222413547828,618.4444172193048,618.997347303157,618.0451092527838,613.335380055116
2023-10-02 12:13:36.615,0.728,0.0,1.001,0.0,0.0,0.0,398.619,0.3,10.0,100.0,0.5997213255887928,1.7513497808406715,616.831463751438,618.3405990208446,619.2266370377699,618.6195209919451,613.5351863549197
2023-10-02 12:13:37.610,1.006,0.0,1.001,0.0,0.0,0.0,399.512,0.299,10.0,100.0,0.5986917902911334,1.727695336065679,616.8876079523756,618.5545971402714,619.3699837138546,618.0230332999977,614.5683726329737
2023-10-02 12:13:38.605,1.007,0.0,1.002,0.0,0.0,0.0,399.52,0.301,10.0,100.0,0.5894398637837343,1.6570103979653248,616.8695523693215,618.462057006878,619.0955996085729,618.9484543305405,613.6345673914606
2023-10-02 12:13:39.600,1.009,0.0,1.0,0.0,0.0,0.0,398.72,0.299,10.0,100.03209618208724,0.5878345751316404,1.622526793867225,616.8767253307177,618.4251969146393,619.2555980810084,618.8288350647986,613.9653393720116
